,year,max_temp_anomaly
0,1910,-0.71
1,1911,-0.51
2,1912,-0.0
3,1913,-0.71
4,1914,0.18
5,1915,0.22
6,1916,-0.76
7,1917,-1.43
8,1918,-0.34
9,1919,0.02
10,1920,-0.82
11,1921,-0.44
12,1922,-0.22
13,1923,-0.18
14,1924,-0.52
15,1925,-0.61
16,1926,0.03
17,1927,-0.27
18,1928,0.43
19,1929,-0.63
20,1930,-0.31
21,1931,-0.59
22,1932,-0.33
23,1933,-0.52
24,1934,-0.44
25,1935,-0.33
26,1936,-0.02
27,1937,-0.17
28,1938,0.32
29,1939,-0.81
30,1940,0.15
31,1941,-0.68
32,1942,0.04
33,1943,-0.38
34,1944,-0.04
35,1945,-0.18
36,1946,-0.27
37,1947,-0.39
38,1948,-0.08
39,1949,-0.88
40,1950,-0.77
41,1951,-0.13
42,1952,-0.28
43,1953,-0.22
44,1954,-0.33
45,1955,-0.72
46,1956,-1.11
47,1957,0.38
48,1958,0.11
49,1959,0.23
50,1960,-0.69
51,1961,0.29
52,1962,-0.08
53,1963,-0.31
54,1964,-0.21
55,1965,0.41
56,1966,-0.56
57,1967,-0.1
58,1968,-0.67
59,1969,0.15
60,1970,0.15
61,1971,-0.25
62,1972,0.44
63,1973,0.07
64,1974,-1.05
65,1975,-0.29
66,1976,-0.52
67,1977,0.17
68,1978,-0.5
69,1979,0.43
70,1980,0.93
71,1981,0.17
72,1982,0.21
73,1983,0.15
74,1984,-0.46
75,1985,0.3
76,1986,0.17
77,1987,0.12
78,1988,0.64
79,1989,-0.23
80,1990,0.37
81,1991,0.71
82,1992,-0.14
83,1993,0.07
84,1994,0.65
85,1995,-0.05
86,1996,0.63
87,1997,0.24
88,1998,0.65
89,1999,0.19
90,2000,-0.33
91,2001,0.08
92,2002,1.33
93,2003,0.76
94,2004,0.64
95,2005,1.31
96,2006,0.64
97,2007,0.85
98,2008,0.57
99,2009,1.13
100,2010,-0.09
101,2011,-0.1
102,2012,0.64
103,2013,1.59
104,2014,1.3
105,2015,1.09
106,2016,0.84
107,2017,1.42
108,2018,1.55
109,2019,2.09
