annual_rainfall_anomaly_year,annual_rainfall_anomaly_mm
1900,-91.79
1901,-58.54
1902,-150.73
1903,61.39
1904,47.97
1905,-136.17
1906,25.32
1907,-4.5
1908,-4.15
1909,-20.27
1910,74.5
1911,-40.88
1912,-94.57
1913,-28.29
1914,-45.45
1915,-90.32
1916,58.59
1917,105.85
1918,-40.94
1919,-108.19
1920,43.69
1921,78.03
1922,-49.93
1923,-53.03
1924,-62.9
1925,-40.76
1926,-50.6
1927,-47.68
1928,-107.81
1929,-92.55
1930,25.68
1931,-30.39
1932,-78.04
1933,-20.76
1934,-26.77
1935,-120.49
1936,-65.23
1937,-82.96
1938,-104.39
1939,25.13
1940,-71.95
1941,6.03
1942,65.36
1943,-77.03
1944,-93.59
1945,-64.17
1946,-69.06
1947,35.06
1948,-83.94
1949,-0.39
1950,150.34
1951,-101.91
1952,-91.79
1953,-45.25
1954,-14.08
1955,100.44
1956,129.54
1957,-82.53
1958,-49.62
1959,-56.91
1960,1.58
1961,-132.56
1962,-33.49
1963,8.1
1964,-46.09
1965,-124.75
1966,-67.17
1967,-41.32
1968,79.31
1969,-60.32
1970,-87.33
1971,21.49
1972,-107.53
1973,182.6
1974,294.46
1975,137.05
1976,51.74
1977,0.0
1978,51.26
1979,-16.96
1980,-37.63
1981,65.72
1982,-53.65
1983,29.73
1984,88.84
1985,-64.58
1986,-79.45
1987,-12.6
1988,-7.85
1989,12.5
1990,-49.64
1991,-1.13
1992,-11.3
1993,21.19
1994,-126.62
1995,55.72
1996,-4.02
1997,46.15
1998,84.67
1999,113.08
2000,233.11
2001,84.89
2002,-133.95
2003,7.39
2004,32.1
2005,-68.21
2006,23.65
2007,41.2
2008,13.5
2009,-4.38
2010,238.17
2011,242.54
2012,13.85
2013,-34.9
2014,17.64
2015,-18.9
2016,87.03
2017,37.92
2018,-51.04
2019,-187.47
