annual_rainfall_year,annual_rainfall_mm
1900,373.4
1901,406.65
1902,314.46
1903,526.58
1904,513.16
1905,329.02
1906,490.51
1907,460.69
1908,461.04
1909,444.92
1910,539.69
1911,424.31
1912,370.62
1913,436.9
1914,419.74
1915,374.87
1916,523.78
1917,571.04
1918,424.25
1919,357.0
1920,508.88
1921,543.22
1922,415.26
1923,412.16
1924,402.29
1925,424.43
1926,414.59
1927,417.51
1928,357.38
1929,372.64
1930,490.87
1931,434.8
1932,387.15
1933,444.43
1934,438.42
1935,344.7
1936,399.96
1937,382.23
1938,360.8
1939,490.32
1940,393.24
1941,471.22
1942,530.55
1943,388.16
1944,371.6
1945,401.02
1946,396.13
1947,500.25
1948,381.25
1949,464.8
1950,615.53
1951,363.28
1952,373.4
1953,419.94
1954,451.11
1955,565.63
1956,594.73
1957,382.66
1958,415.57
1959,408.28
1960,466.77
1961,332.63
1962,431.7
1963,473.29
1964,419.1
1965,340.44
1966,398.02
1967,423.87
1968,544.5
1969,404.87
1970,377.86
1971,486.68
1972,357.66
1973,647.79
1974,759.65
1975,602.24
1976,516.93
1977,465.19
1978,516.45
1979,448.23
1980,427.56
1981,530.91
1982,411.54
1983,494.92
1984,554.03
1985,400.61
1986,385.74
1987,452.59
1988,457.34
1989,477.69
1990,415.55
1991,464.06
1992,453.89
1993,486.38
1994,338.57
1995,520.91
1996,461.17
1997,511.34
1998,549.86
1999,578.27
2000,698.3
2001,550.08
2002,331.24
2003,472.58
2004,497.29
2005,396.98
2006,488.84
2007,506.39
2008,478.69
2009,460.81
2010,703.36
2011,707.73
2012,479.04
2013,430.29
2014,482.83
2015,446.29
2016,552.22
2017,503.11
2018,414.15
2019,277.72
